ADD,EPA,District ,Market,Month,Year,Commodity,Price
Salima,Linga,Nkhotakota,Nkhotakota,February,2024,Rice,
Salima,Mwansambo,Nkhotakota,Mwansambo,February,2024,Rice,2000
Salima,Tembwe,Salima,Salima,February,2024,Rice,1825
Kasungu,Chikwatula,Ntchisi,Ntchisi,February,2024,Rice,
Kasungu,Malomo,Ntchisi,Malomo,February,2024,Rice,
Kasungu,Nachisaka,Dowa East,Dowa,February,2024,Rice,
Kasungu,Mponela,Dowa West,Mponela,February,2024,Rice,
Kasungu,Madisi,Dowa West,Madisi,February,2024,Rice,
Kasungu,Bowe,Dowa West,Bowe,February,2024,Rice,
Kasungu,Nambuma,Dowa West,Nambuma,February,2024,Rice,
Kasungu,Santhe,Kasungu,Santhe,February,2024,Rice,2000
Kasungu,Chipala,Kasungu,Kasungu,February,2024,Rice,2000
Kasungu,Chamama,Kasungu,Chamama,February,2024,Rice,2000
Kasungu,Kaluluma,Kasungu,Nkhamenya,February,2024,Rice,2000
Kasungu,Kaluluma,Kasungu,Chatoloma,February,2024,Rice,2000
Kasungu,Mkanda,Mchinji,Mkanda,February,2024,Rice,
Kasungu,Zulu,Mchinji,Mchinji,February,2024,Rice,
Lilongwe,Chilaza,Lilongwe West,Msundwe,February,2024,Rice,
Lilongwe,Demera,Lilongwe West,Kasiya,February,2024,Rice,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,February,2024,Rice,
Lilongwe,Mitundu,Lilongwe West,Mitundu,February,2024,Rice,1950
Lilongwe,Chitsime,Lilongwe East,Nanjiri,February,2024,Rice,1800
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,February,2024,Rice,
Lilongwe,Lobi,Dedza,Thete,February,2024,Rice,
Lilongwe,Mtakataka,Dedza,Mtakataka,February,2024,Rice,
Lilongwe,Linthipe,Dedza,Chimbiya,February,2024,Rice,2000.22
Lilongwe,Bembeke,Dedza,Bembeke Turn off,February,2024,Rice,1900
Lilongwe,Njolomole,Ntcheu,Lizulu,February,2024,Rice,
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,February,2024,Rice,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,February,2024,Rice,
Lilongwe,Nsipe,Ntcheu,Ntcheu,February,2024,Rice,
Lilongwe,Manjawira,Ntcheu,Ntonda,February,2024,Rice,
Machinga,Bazale,Balaka,Balaka,February,2024,Rice,2180.88
Machinga,Chikweo,Machinga,Ntaja,February,2024,Rice,
Machinga,Mpiya,Machinga,Namwera,February,2024,Rice,1581.71
Machinga,Mbwadzulu,Mangochi,Monkey Bay,February,2024,Rice,2000
Machinga,Nasenga,Mangochi,Mangochi,February,2024,Rice,1848.25
Machinga,Mtubwi,Machinga,Liwonde,February,2024,Rice,2000
Machinga,Mpokwa,Zomba,Jali,February,2024,Rice,
Machinga,Ngwelero,Zomba,Mayaka,February,2024,Rice,
Machinga,Thondwe,Zomba,Zomba,February,2024,Rice,
Machinga,Thondwe,Zomba,Thondwe,February,2024,Rice,
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,February,2024,Rice,1975.405
Blantyre,Lunzu,Blantyre,Lunzu,February,2024,Rice,
Blantyre,Mtonda,Blantyre,Limbe,February,2024,Rice,
Blantyre,Dwale,Thyolo,Bvumbwe,February,2024,Rice,1934.33
Blantyre,Nkhonjeni,Thyolo,Luncheza,February,2024,Rice,
Blantyre,Mwanza,Mwanza,Mwanza,February,2024,Rice,2800
Blantyre,Neno,Neno,Neno,February,2024,Rice,2000
Blantyre,Nkhulambe,Phalombe,Chiringa,February,2024,Rice,
Blantyre,Naminjiwa,Phalombe,Phalombe,February,2024,Rice,2200
Blantyre,Milonde,Mulanje,Muloza,February,2024,Rice,
Shirevalley,Mitole,Chikwawa,Chikhwawa,February,2024,Rice,2500
Shirevalley,Mikalango,Chikwawa,Ngabu,February,2024,Rice,2600
Shirevalley,Mbewe,Chikwawa,Nchalo,February,2024,Rice,2550
Shirevalley,Magoti,Nsanje,Bangula,February,2024,Rice,2000
Shirevalley,Zunde,Nsanje,Nsanje,February,2024,Rice,2600.24
Karonga,Misuku,Chitipa,Misuku,March,2024,Rice,1397.5
Karonga,Kavukuku,Chitipa,Nthalire,March,2024,Rice,
Karonga,Lufita,Chitipa,Chitipa,March,2024,Rice,2024.16
Karonga,Mpata,Karonga,Karonga,March,2024,Rice,690.44
Karonga,Vinthukutu,Karonga,Chilumba,March,2024,Rice,1645.71
Mzuzu,Bolero,Rumphi,Rumphi,March,2024,Rice,1905.44
Mzuzu,Katowo,Rumphi,Hewe,March,2024,Rice,
Mzuzu,Emsizini,Mzimba North,Mzuzu,March,2024,Rice,
Mzuzu,Kazomba,Mzimba South,Mzimba,March,2024,Rice,2072.55
Mzuzu,Mbawa,Mzimba South,Embangweni,March,2024,Rice,
Mzuzu,Champhira,Mzimba South,Jenda,March,2024,Rice,
Mzuzu,Mpamba,Nkhata Bay,Mpamba,March,2024,Rice,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,March,2024,Rice,1230.94
Mzuzu,Chintheche,Nkhata Bay,Chintheche,March,2024,Rice,1831.66
Salima,Nkhunga,Nkhotakota,Dwangwa,March,2024,Rice,1700
Salima,Linga,Nkhotakota,Nkhotakota,March,2024,Rice,
Salima,Mwansambo,Nkhotakota,Mwansambo,March,2024,Rice,
Salima,Tembwe,Salima,Salima,March,2024,Rice,1800
Kasungu,Chikwatula,Ntchisi,Ntchisi,March,2024,Rice,
Kasungu,Malomo,Ntchisi,Malomo,March,2024,Rice,
Kasungu,Nachisaka,Dowa East,Dowa,March,2024,Rice,1800
Kasungu,Mponela,Dowa West,Mponela,March,2024,Rice,1600
Kasungu,Madisi,Dowa West,Madisi,March,2024,Rice,
Kasungu,Bowe,Dowa West,Bowe,March,2024,Rice,
Kasungu,Nambuma,Dowa West,Nambuma,March,2024,Rice,2200
Kasungu,Santhe,Kasungu,Santhe,March,2024,Rice,2000
Kasungu,Chipala,Kasungu,Kasungu,March,2024,Rice,1800
Kasungu,Chamama,Kasungu,Chamama,March,2024,Rice,2050
Kasungu,Kaluluma,Kasungu,Nkhamenya,March,2024,Rice,2000
Kasungu,Kaluluma,Kasungu,Chatoloma,March,2024,Rice,2000
Kasungu,Mkanda,Mchinji,Mkanda,March,2024,Rice,
Kasungu,Zulu,Mchinji,Mchinji,March,2024,Rice,4000
Lilongwe,Chilaza,Lilongwe West,Msundwe,March,2024,Rice,
Lilongwe,Demera,Lilongwe West,Kasiya,March,2024,Rice,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,March,2024,Rice,2200
Lilongwe,Mitundu,Lilongwe West,Mitundu,March,2024,Rice,1975
Lilongwe,Chitsime,Lilongwe East,Nanjiri,March,2024,Rice,1800
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,March,2024,Rice,
Lilongwe,Lobi,Dedza,Thete,March,2024,Rice,2000
Lilongwe,Mtakataka,Dedza,Mtakataka,March,2024,Rice,
Lilongwe,Linthipe,Dedza,Chimbiya,March,2024,Rice,2000.2
Lilongwe,Bembeke,Dedza,Bembeke Turn off,March,2024,Rice,1200
Lilongwe,Njolomole,Ntcheu,Lizulu,March,2024,Rice,
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,March,2024,Rice,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,March,2024,Rice,
Lilongwe,Nsipe,Ntcheu,Ntcheu,March,2024,Rice,1831.56
Lilongwe,Manjawira,Ntcheu,Ntonda,March,2024,Rice,
Machinga,Bazale,Balaka,Balaka,March,2024,Rice,2131.48
Machinga,Chikweo,Machinga,Ntaja,March,2024,Rice,
Machinga,Mpiya,Machinga,Namwera,March,2024,Rice,
Machinga,Mbwadzulu,Mangochi,Monkey Bay,March,2024,Rice,2361.67
Machinga,Nasenga,Mangochi,Mangochi,March,2024,Rice,2299.45
Machinga,Mtubwi,Machinga,Liwonde,March,2024,Rice,2305.28
Machinga,Mpokwa,Zomba,Jali,March,2024,Rice,
Machinga,Ngwelero,Zomba,Mayaka,March,2024,Rice,
