ADD,EPA,District ,Market,Month,Year,Commodity,Price
Mzuzu,Mpamba,Nkhata Bay,Mpamba,February,2024,Soya beans,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,February,2024,Soya beans,
Mzuzu,Chintheche,Nkhata Bay,Chintheche,February,2024,Soya beans,
Salima,Nkhunga,Nkhotakota,Dwangwa,February,2024,Soya beans,1300
Salima,Linga,Nkhotakota,Nkhotakota,February,2024,Soya beans,
Salima,Mwansambo,Nkhotakota,Mwansambo,February,2024,Soya beans,1000
Salima,Tembwe,Salima,Salima,February,2024,Soya beans,1500
Kasungu,Chikwatula,Ntchisi,Ntchisi,February,2024,Soya beans,954.2
Kasungu,Malomo,Ntchisi,Malomo,February,2024,Soya beans,
Kasungu,Nachisaka,Dowa East,Dowa,February,2024,Soya beans,
Kasungu,Mponela,Dowa West,Mponela,February,2024,Soya beans,
Kasungu,Madisi,Dowa West,Madisi,February,2024,Soya beans,
Kasungu,Bowe,Dowa West,Bowe,February,2024,Soya beans,
Kasungu,Nambuma,Dowa West,Nambuma,February,2024,Soya beans,
Kasungu,Santhe,Kasungu,Santhe,February,2024,Soya beans,700
Kasungu,Chipala,Kasungu,Kasungu,February,2024,Soya beans,743.3333333
Kasungu,Chamama,Kasungu,Chamama,February,2024,Soya beans,860
Kasungu,Kaluluma,Kasungu,Nkhamenya,February,2024,Soya beans,600
Kasungu,Kaluluma,Kasungu,Chatoloma,February,2024,Soya beans,450.84
Kasungu,Mkanda,Mchinji,Mkanda,February,2024,Soya beans,
Kasungu,Zulu,Mchinji,Mchinji,February,2024,Soya beans,1500
Lilongwe,Chilaza,Lilongwe West,Msundwe,February,2024,Soya beans,
Lilongwe,Demera,Lilongwe West,Kasiya,February,2024,Soya beans,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,February,2024,Soya beans,
Lilongwe,Mitundu,Lilongwe West,Mitundu,February,2024,Soya beans,1050
Lilongwe,Chitsime,Lilongwe East,Nanjiri,February,2024,Soya beans,900
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,February,2024,Soya beans,
Lilongwe,Lobi,Dedza,Thete,February,2024,Soya beans,1000
Lilongwe,Mtakataka,Dedza,Mtakataka,February,2024,Soya beans,
Lilongwe,Linthipe,Dedza,Chimbiya,February,2024,Soya beans,1000.19
Lilongwe,Bembeke,Dedza,Bembeke Turn off,February,2024,Soya beans,587.5
Lilongwe,Njolomole,Ntcheu,Lizulu,February,2024,Soya beans,
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,February,2024,Soya beans,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,February,2024,Soya beans,
Lilongwe,Nsipe,Ntcheu,Ntcheu,February,2024,Soya beans,1020.7
Lilongwe,Manjawira,Ntcheu,Ntonda,February,2024,Soya beans,
Machinga,Bazale,Balaka,Balaka,February,2024,Soya beans,4010.36
Machinga,Chikweo,Machinga,Ntaja,February,2024,Soya beans,
Machinga,Mpiya,Machinga,Namwera,February,2024,Soya beans,1398.5
Machinga,Mbwadzulu,Mangochi,Monkey Bay,February,2024,Soya beans,1297.5
Machinga,Nasenga,Mangochi,Mangochi,February,2024,Soya beans,1657.5
Machinga,Mtubwi,Machinga,Liwonde,February,2024,Soya beans,1150
Machinga,Mpokwa,Zomba,Jali,February,2024,Soya beans,
Machinga,Ngwelero,Zomba,Mayaka,February,2024,Soya beans,
Machinga,Thondwe,Zomba,Zomba,February,2024,Soya beans,
Machinga,Thondwe,Zomba,Thondwe,February,2024,Soya beans,
