ADD,EPA,District ,Market,Month,Year,Commodity,Price
Salima,Nkhunga,Nkhotakota,Dwangwa,February,2024,Beans,2400
Salima,Linga,Nkhotakota,Nkhotakota,February,2024,Beans,
Salima,Mwansambo,Nkhotakota,Mwansambo,February,2024,Beans,3112.5
Salima,Tembwe,Salima,Salima,February,2024,Beans,
Kasungu,Chikwatula,Ntchisi,Ntchisi,February,2024,Beans,2687.5
Kasungu,Malomo,Ntchisi,Malomo,February,2024,Beans,3200
Kasungu,Nachisaka,Dowa East,Dowa,February,2024,Beans,
Kasungu,Mponela,Dowa West,Mponela,February,2024,Beans,
Kasungu,Madisi,Dowa West,Madisi,February,2024,Beans,
Kasungu,Bowe,Dowa West,Bowe,February,2024,Beans,
Kasungu,Nambuma,Dowa West,Nambuma,February,2024,Beans,
Kasungu,Santhe,Kasungu,Santhe,February,2024,Beans,2000
Kasungu,Chipala,Kasungu,Kasungu,February,2024,Beans,2300
Kasungu,Chamama,Kasungu,Chamama,February,2024,Beans,3533
Kasungu,Kaluluma,Kasungu,Nkhamenya,February,2024,Beans,1982.22
Kasungu,Kaluluma,Kasungu,Chatoloma,February,2024,Beans,2095.66
Kasungu,Mkanda,Mchinji,Mkanda,February,2024,Beans,3383.3
Kasungu,Zulu,Mchinji,Mchinji,February,2024,Beans,4000
Lilongwe,Chilaza,Lilongwe West,Msundwe,February,2024,Beans,
Lilongwe,Demera,Lilongwe West,Kasiya,February,2024,Beans,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,February,2024,Beans,
Lilongwe,Mitundu,Lilongwe West,Mitundu,February,2024,Beans,2900
Lilongwe,Chitsime,Lilongwe East,Nanjiri,February,2024,Beans,1600
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,February,2024,Beans,
Lilongwe,Lobi,Dedza,Thete,February,2024,Beans,
Lilongwe,Mtakataka,Dedza,Mtakataka,February,2024,Beans,
Lilongwe,Linthipe,Dedza,Chimbiya,February,2024,Beans,1687.63
Lilongwe,Bembeke,Dedza,Bembeke Turn off,February,2024,Beans,1975
Lilongwe,Njolomole,Ntcheu,Lizulu,February,2024,Beans,
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,February,2024,Beans,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,February,2024,Beans,
Lilongwe,Nsipe,Ntcheu,Ntcheu,February,2024,Beans,
Lilongwe,Manjawira,Ntcheu,Ntonda,February,2024,Beans,
Machinga,Bazale,Balaka,Balaka,February,2024,Beans,3407.71
Machinga,Chikweo,Machinga,Ntaja,February,2024,Beans,
Machinga,Mpiya,Machinga,Namwera,February,2024,Beans,2329.475
Machinga,Mbwadzulu,Mangochi,Monkey Bay,February,2024,Beans,3000
Machinga,Nasenga,Mangochi,Mangochi,February,2024,Beans,3133.25
Machinga,Mtubwi,Machinga,Liwonde,February,2024,Beans,3000
Machinga,Mpokwa,Zomba,Jali,February,2024,Beans,
Machinga,Ngwelero,Zomba,Mayaka,February,2024,Beans,
Machinga,Thondwe,Zomba,Zomba,February,2024,Beans,
Machinga,Thondwe,Zomba,Thondwe,February,2024,Beans,
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,February,2024,Beans,3975.455
Blantyre,Lunzu,Blantyre,Lunzu,February,2024,Beans,
Blantyre,Mtonda,Blantyre,Limbe,February,2024,Beans,
Blantyre,Dwale,Thyolo,Bvumbwe,February,2024,Beans,
Blantyre,Nkhonjeni,Thyolo,Luncheza,February,2024,Beans,
Blantyre,Mwanza,Mwanza,Mwanza,February,2024,Beans,2389.19
Blantyre,Neno,Neno,Neno,February,2024,Beans,2500
Blantyre,Nkhulambe,Phalombe,Chiringa,February,2024,Beans,
Blantyre,Naminjiwa,Phalombe,Phalombe,February,2024,Beans,2500
Blantyre,Milonde,Mulanje,Muloza,February,2024,Beans,
Shirevalley,Mitole,Chikwawa,Chikhwawa,February,2024,Beans,3500
Shirevalley,Mikalango,Chikwawa,Ngabu,February,2024,Beans,3600
Shirevalley,Mbewe,Chikwawa,Nchalo,February,2024,Beans,3500
Shirevalley,Magoti,Nsanje,Bangula,February,2024,Beans,2400
Shirevalley,Zunde,Nsanje,Nsanje,February,2024,Beans,3000.22
Karonga,Misuku,Chitipa,Misuku,March,2024,Beans,2875.495
Karonga,Kavukuku,Chitipa,Nthalire,March,2024,Beans,
Karonga,Lufita,Chitipa,Chitipa,March,2024,Beans,
Karonga,Mpata,Karonga,Karonga,March,2024,Beans,1317.89
Karonga,Vinthukutu,Karonga,Chilumba,March,2024,Beans,1962.86
Mzuzu,Bolero,Rumphi,Rumphi,March,2024,Beans,2543.67
Mzuzu,Katowo,Rumphi,Hewe,March,2024,Beans,
Mzuzu,Emsizini,Mzimba North,Mzuzu,March,2024,Beans,
Mzuzu,Kazomba,Mzimba South,Mzimba,March,2024,Beans,1709.41
Mzuzu,Mbawa,Mzimba South,Embangweni,March,2024,Beans,2664.4
Mzuzu,Champhira,Mzimba South,Jenda,March,2024,Beans,2569.1
Mzuzu,Mpamba,Nkhata Bay,Mpamba,March,2024,Beans,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,March,2024,Beans,1231.36
Mzuzu,Chintheche,Nkhata Bay,Chintheche,March,2024,Beans,1962.72
Salima,Nkhunga,Nkhotakota,Dwangwa,March,2024,Beans,3000
Salima,Linga,Nkhotakota,Nkhotakota,March,2024,Beans,
Salima,Mwansambo,Nkhotakota,Mwansambo,March,2024,Beans,
Salima,Tembwe,Salima,Salima,March,2024,Beans,
Kasungu,Chikwatula,Ntchisi,Ntchisi,March,2024,Beans,2596.7
Kasungu,Malomo,Ntchisi,Malomo,March,2024,Beans,3200
Kasungu,Nachisaka,Dowa East,Dowa,March,2024,Beans,2950
Kasungu,Mponela,Dowa West,Mponela,March,2024,Beans,1500
Kasungu,Madisi,Dowa West,Madisi,March,2024,Beans,
Kasungu,Bowe,Dowa West,Bowe,March,2024,Beans,
Kasungu,Nambuma,Dowa West,Nambuma,March,2024,Beans,2925
Kasungu,Santhe,Kasungu,Santhe,March,2024,Beans,"2,000.00"
Kasungu,Chipala,Kasungu,Kasungu,March,2024,Beans,2800
Kasungu,Chamama,Kasungu,Chamama,March,2024,Beans,3533.33
Kasungu,Kaluluma,Kasungu,Nkhamenya,March,2024,Beans,1996.52
Kasungu,Kaluluma,Kasungu,Chatoloma,March,2024,Beans,2095.66
Kasungu,Mkanda,Mchinji,Mkanda,March,2024,Beans,3608.3
Kasungu,Zulu,Mchinji,Mchinji,March,2024,Beans,2500
Lilongwe,Chilaza,Lilongwe West,Msundwe,March,2024,Beans,
Lilongwe,Demera,Lilongwe West,Kasiya,March,2024,Beans,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,March,2024,Beans,3450
Lilongwe,Mitundu,Lilongwe West,Mitundu,March,2024,Beans,
Lilongwe,Chitsime,Lilongwe East,Nanjiri,March,2024,Beans,1650
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,March,2024,Beans,
Lilongwe,Lobi,Dedza,Thete,March,2024,Beans,2125
Lilongwe,Mtakataka,Dedza,Mtakataka,March,2024,Beans,
Lilongwe,Linthipe,Dedza,Chimbiya,March,2024,Beans,2500.12
Lilongwe,Bembeke,Dedza,Bembeke Turn off,March,2024,Beans,1975
Lilongwe,Njolomole,Ntcheu,Lizulu,March,2024,Beans,
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,March,2024,Beans,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,March,2024,Beans,
Lilongwe,Nsipe,Ntcheu,Ntcheu,March,2024,Beans,1962.51
Lilongwe,Manjawira,Ntcheu,Ntonda,March,2024,Beans,
Machinga,Bazale,Balaka,Balaka,March,2024,Beans,3548.04
Machinga,Chikweo,Machinga,Ntaja,March,2024,Beans,
Machinga,Mpiya,Machinga,Namwera,March,2024,Beans,
Machinga,Mbwadzulu,Mangochi,Monkey Bay,March,2024,Beans,4662.25
Machinga,Nasenga,Mangochi,Mangochi,March,2024,Beans,4068.12
Machinga,Mtubwi,Machinga,Liwonde,March,2024,Beans,3651.15
Machinga,Mpokwa,Zomba,Jali,March,2024,Beans,
Machinga,Ngwelero,Zomba,Mayaka,March,2024,Beans,
Machinga,Thondwe,Zomba,Zomba,March,2024,Beans,
Machinga,Thondwe,Zomba,Thondwe,March,2024,Beans,
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,March,2024,Beans,3850.4175
Blantyre,Lunzu,Blantyre,Lunzu,March,2024,Beans,
Blantyre,Mtonda,Blantyre,Limbe,March,2024,Beans,2557.475
Blantyre,Dwale,Thyolo,Bvumbwe,March,2024,Beans,2566.69
Blantyre,Nkhonjeni,Thyolo,Luncheza,March,2024,Beans,2625
Blantyre,Mwanza,Mwanza,Mwanza,March,2024,Beans,3200
Blantyre,Neno,Neno,Neno,March,2024,Beans,2350
Blantyre,Nkhulambe,Phalombe,Chiringa,March,2024,Beans,
Blantyre,Naminjiwa,Phalombe,Phalombe,March,2024,Beans,2450
Blantyre,Milonde,Mulanje,Muloza,March,2024,Beans,2952.26
Shirevalley,Mitole,Chikwawa,Chikhwawa,March,2024,Beans,3500
Shirevalley,Mikalango,Chikwawa,Ngabu,March,2024,Beans,3600
Shirevalley,Mbewe,Chikwawa,Nchalo,March,2024,Beans,3500
Shirevalley,Magoti,Nsanje,Bangula,March,2024,Beans,3400
Shirevalley,Zunde,Nsanje,Nsanje,March,2024,Beans,3000.07
Karonga,Misuku,Chitipa,Misuku,April,2024,Beans,2870.995
Karonga,Kavukuku,Chitipa,Nthalire,April,2024,Beans,
Karonga,Lufita,Chitipa,Chitipa,April,2024,Beans,
Karonga,Mpata,Karonga,Karonga,April,2024,Beans,
Karonga,Vinthukutu,Karonga,Chilumba,April,2024,Beans,1375.95
Mzuzu,Bolero,Rumphi,Rumphi,April,2024,Beans,
Mzuzu,Katowo,Rumphi,Hewe,April,2024,Beans,
Mzuzu,Emsizini,Mzimba North,Mzuzu,April,2024,Beans,
Mzuzu,Kazomba,Mzimba South,Mzimba,April,2024,Beans,2267.29
Mzuzu,Mbawa,Mzimba South,Embangweni,April,2024,Beans,2669.5
Mzuzu,Champhira,Mzimba South,Jenda,April,2024,Beans,2400.5
Mzuzu,Mpamba,Nkhata Bay,Mpamba,April,2024,Beans,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,April,2024,Beans,1335.51
Mzuzu,Chintheche,Nkhata Bay,Chintheche,April,2024,Beans,1962.54
Salima,Nkhunga,Nkhotakota,Dwangwa,April,2024,Beans,3600
Salima,Linga,Nkhotakota,Nkhotakota,April,2024,Beans,
Salima,Mwansambo,Nkhotakota,Mwansambo,April,2024,Beans,
Salima,Tembwe,Salima,Salima,April,2024,Beans,3500
Kasungu,Chikwatula,Ntchisi,Ntchisi,April,2024,Beans,2533.3
Kasungu,Malomo,Ntchisi,Malomo,April,2024,Beans,2316.7
Kasungu,Nachisaka,Dowa East,Dowa,April,2024,Beans,3000
Kasungu,Mponela,Dowa West,Mponela,April,2024,Beans,
Kasungu,Madisi,Dowa West,Madisi,April,2024,Beans,
Kasungu,Bowe,Dowa West,Bowe,April,2024,Beans,"3,000.00"
Kasungu,Nambuma,Dowa West,Nambuma,April,2024,Beans,
Kasungu,Santhe,Kasungu,Santhe,April,2024,Beans,
Kasungu,Chipala,Kasungu,Kasungu,April,2024,Beans,
Kasungu,Chamama,Kasungu,Chamama,April,2024,Beans,
Kasungu,Kaluluma,Kasungu,Nkhamenya,April,2024,Beans,
Kasungu,Kaluluma,Kasungu,Chatoloma,April,2024,Beans,
Kasungu,Mkanda,Mchinji,Mkanda,April,2024,Beans,3733.3
Kasungu,Zulu,Mchinji,Mchinji,April,2024,Beans,3972.2
Lilongwe,Chilaza,Lilongwe West,Msundwe,April,2024,Beans,
Lilongwe,Demera,Lilongwe West,Kasiya,April,2024,Beans,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,April,2024,Beans,3800
Lilongwe,Mitundu,Lilongwe West,Mitundu,April,2024,Beans,2650
Lilongwe,Chitsime,Lilongwe East,Nanjiri,April,2024,Beans,1800
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,April,2024,Beans,1770
Lilongwe,Lobi,Dedza,Thete,April,2024,Beans,
Lilongwe,Mtakataka,Dedza,Mtakataka,April,2024,Beans,
Lilongwe,Linthipe,Dedza,Chimbiya,April,2024,Beans,2325.36
Lilongwe,Bembeke,Dedza,Bembeke Turn off,April,2024,Beans,
Lilongwe,Njolomole,Ntcheu,Lizulu,April,2024,Beans,
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,April,2024,Beans,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,April,2024,Beans,
Lilongwe,Nsipe,Ntcheu,Ntcheu,April,2024,Beans,
Lilongwe,Manjawira,Ntcheu,Ntonda,April,2024,Beans,
Machinga,Bazale,Balaka,Balaka,April,2024,Beans,3529.25
Machinga,Chikweo,Machinga,Ntaja,April,2024,Beans,
Machinga,Mpiya,Machinga,Namwera,April,2024,Beans,
Machinga,Mbwadzulu,Mangochi,Monkey Bay,April,2024,Beans,
Machinga,Nasenga,Mangochi,Mangochi,April,2024,Beans,
Machinga,Mtubwi,Machinga,Liwonde,April,2024,Beans,
Machinga,Mpokwa,Zomba,Jali,April,2024,Beans,
Machinga,Ngwelero,Zomba,Mayaka,April,2024,Beans,
Machinga,Thondwe,Zomba,Zomba,April,2024,Beans,
