ADD,EPA,District ,Market,Month,Year,Wk1,Wk2,Wk3,Wk4,Wk5,Commodity,Price
Blantyre,Nkhulambe,Phalombe,Chiringa,January,2024,,,,,,Maize,#DIV/0!
Blantyre,Naminjiwa,Phalombe,Phalombe,January,2024,,,,,850,Maize,#DIV/0!
Blantyre,Milonde,Mulanje,Muloza,January,2024,,,,,,Maize,#DIV/0!
Shirevalley,Mitole,Chikwawa,Chikhwawa,January,2024,,898.66,897.29,895.92,894.55,Maize,897.29
Shirevalley,Mikalango,Chikwawa,Ngabu,January,2024,,918.69,904.14,910.56,903,Maize,911.13
Shirevalley,Mbewe,Chikwawa,Nchalo,January,2024,,888.39,881.92,890.05,888.45,Maize,886.7866667
Shirevalley,Magoti,Nsanje,Bangula,January,2024,1111.11,1111.11,1111.11,1111.11,888.89,Maize,1111.11
Shirevalley,Zunde,Nsanje,Nsanje,January,2024,900,900,900,900.24,900.08,Maize,900.06
Karonga,Misuku,Chitipa,Misuku,February,2024,,,,,,Maize,#DIV/0!
Karonga,Kavukuku,Chitipa,Nthalire,February,2024,,,,,,Maize,#DIV/0!
Karonga,Lufita,Chitipa,Chitipa,February,2024,,,,,,Maize,#DIV/0!
Karonga,Mpata,Karonga,Karonga,February,2024,,,,,,Maize,#DIV/0!
Karonga,Vinthukutu,Karonga,Chilumba,February,2024,,,,,,Maize,#DIV/0!
Mzuzu,Bolero,Rumphi,Rumphi,February,2024,789.5,790.78,790.98,792.09,,Maize,790.8375
Mzuzu,Katowo,Rumphi,Hewe,February,2024,,,,,,Maize,#DIV/0!
Mzuzu,Emsizini,Mzimba North,Mzuzu,February,2024,,,,,,Maize,#DIV/0!
Mzuzu,Kazomba,Mzimba South,Mzimba,February,2024,766.67,783.33,622.22,766.67,,Maize,734.7225
Mzuzu,Mbawa,Mzimba South,Embangweni,February,2024,,,,,,Maize,#DIV/0!
Mzuzu,Champhira,Mzimba South,Jenda,February,2024,,,,,,Maize,#DIV/0!
Mzuzu,Mpamba,Nkhata Bay,Mpamba,February,2024,,,,,,Maize,#DIV/0!
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,February,2024,,,,,,Maize,#DIV/0!
Mzuzu,Chintheche,Nkhata Bay,Chintheche,February,2024,832.41,820.37,824.11,801.14,,Maize,819.5075
Salima,Nkhunga,Nkhotakota,Dwangwa,February,2024,900,900,900,845.89,,Maize,886.4725
Salima,Linga,Nkhotakota,Nkhotakota,February,2024,,,,,,Maize,#DIV/0!
