ADD,EPA,District ,Market,Month,Year,Wk1,Wk2,Wk3,Wk4,Wk5,Commodity,Price
Blantyre,Naminjiwa,Phalombe,Phalombe,April,2024,,,,,,Maize,#DIV/0!
Blantyre,Milonde,Mulanje,Muloza,April,2024,583.33,510.63,598.65,591.11,589.54,Maize,570.93
Shirevalley,Mitole,Chikwawa,Chikhwawa,April,2024,664.65,663.28,661.91,660.54,666,Maize,662.595
Shirevalley,Mikalango,Chikwawa,Ngabu,April,2024,664.65,663.28,661.91,660.54,,Maize,662.595
Shirevalley,Mbewe,Chikwawa,Nchalo,April,2024,684.68,670.13,676.55,668.99,,Maize,675.0875
Shirevalley,Magoti,Nsanje,Bangula,April,2024,654.38,647.91,656.04,654.44,,Maize,653.1925
Shirevalley,Zunde,Nsanje,Nsanje,April,2024,,,,,,Maize,#DIV/0!
Karonga,Misuku,Chitipa,Misuku,May,2024,,,,,,Maize,#DIV/0!
Karonga,Kavukuku,Chitipa,Nthalire,May,2024,,,,,,Maize,#DIV/0!
Karonga,Lufita,Chitipa,Chitipa,May,2024,,,,,,Maize,#DIV/0!
Karonga,Mpata,Karonga,Karonga,May,2024,472.22,450.15,481.91,490.12,,Maize,473.6
Karonga,Vinthukutu,Karonga,Chilumba,May,2024,567.78,573.45,581.54,579.77,593.33,Maize,575.635
Mzuzu,Bolero,Rumphi,Rumphi,May,2024,764.44,755,771.67,766.67,,Maize,764.445
Mzuzu,Katowo,Rumphi,Hewe,May,2024,,,,,,Maize,#DIV/0!
Mzuzu,Emsizini,Mzimba North,Mzuzu,May,2024,,,,,,Maize,#DIV/0!
Mzuzu,Kazomba,Mzimba South,Mzimba,May,2024,525.93,509.25,470.37,496.3,440.74,Maize,500.4625
Mzuzu,Mbawa,Mzimba South,Embangweni,May,2024,,,,,,Maize,#DIV/0!
Mzuzu,Champhira,Mzimba South,Jenda,May,2024,,,,,,Maize,#DIV/0!
Mzuzu,Mpamba,Nkhata Bay,Mpamba,May,2024,,,,,,Maize,#DIV/0!
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,May,2024,722.22,722.39,722.26,722.64,722.44,Maize,722.3775
Mzuzu,Chintheche,Nkhata Bay,Chintheche,May,2024,555.55,583.33,611.11,667.7,,Maize,604.4225
Salima,Nkhunga,Nkhotakota,Dwangwa,May,2024,745.78,712.88,700,723.27,700,Maize,720.4825
Salima,Linga,Nkhotakota,Nkhotakota,May,2024,700,700,700,700,,Maize,700
Salima,Mwansambo,Nkhotakota,Mwansambo,May,2024,500,550,600,600,600,Maize,562.5
Salima,Tembwe,Salima,Salima,May,2024,,,,,,Maize,#DIV/0!
Kasungu,Chikwatula,Ntchisi,Ntchisi,May,2024,,,,,,Maize,#DIV/0!
Kasungu,Malomo,Ntchisi,Malomo,May,2024,,,,,,Maize,#DIV/0!
Kasungu,Nachisaka,Dowa East,Dowa,May,2024,600,550,550,550,,Maize,562.5
Kasungu,Mponela,Dowa West,Mponela,May,2024,,,,,,Maize,#DIV/0!
Kasungu,Madisi,Dowa West,Madisi,May,2024,,,,,,Maize,#DIV/0!
Kasungu,Bowe,Dowa West,Bowe,May,2024,,,,,,Maize,#DIV/0!
Kasungu,Nambuma,Dowa West,Nambuma,May,2024,600,620,620,650,628,Maize,622.5
Kasungu,Santhe,Kasungu,Santhe,May,2024,650,650,650,650,,Maize,650
Kasungu,Chipala,Kasungu,Kasungu,May,2024,650,650,650,650,,Maize,650
Kasungu,Chamama,Kasungu,Chamama,May,2024,500,550,670,670,,Maize,597.5
Kasungu,Kaluluma,Kasungu,Nkhamenya,May,2024,550,550,550,550,,Maize,550
Kasungu,Kaluluma,Kasungu,Chatoloma,May,2024,655.74,646.24,643.87,643.87,,Maize,647.43
Kasungu,Mkanda,Mchinji,Mkanda,May,2024,,,,,,Maize,#DIV/0!
Kasungu,Zulu,Mchinji,Mchinji,May,2024,600,600,600,600,600,Maize,600
Lilongwe,Chilaza,Lilongwe West,Msundwe,May,2024,,,,,,Maize,#DIV/0!
Lilongwe,Demera,Lilongwe West,Kasiya,May,2024,,,,,,Maize,#DIV/0!
Lilongwe,Chitsime,Lilongwe East,Lilongwe,May,2024,,,,,,Maize,#DIV/0!
Lilongwe,Mitundu,Lilongwe West,Mitundu,May,2024,400,500,500,600,600,Maize,500
Lilongwe,Chitsime,Lilongwe East,Nanjiri,May,2024,600,600,600,600,600,Maize,600
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,May,2024,650,650,650,650,650,Maize,650
Lilongwe,Lobi,Dedza,Thete,May,2024,,,,,,Maize,#DIV/0!
Lilongwe,Mtakataka,Dedza,Mtakataka,May,2024,,,,,,Maize,#DIV/0!
Lilongwe,Linthipe,Dedza,Chimbiya,May,2024,520.11,520.17,530.18,530.22,550,Maize,525.17
Lilongwe,Bembeke,Dedza,Bembeke Turn off,May,2024,520,540,540,560,,Maize,540
Lilongwe,Njolomole,Ntcheu,Lizulu,May,2024,500,520,550,550,600,Maize,530
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,May,2024,520,550,570,630,660,Maize,567.5
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,May,2024,500,510,530,550,580,Maize,522.5
Lilongwe,Nsipe,Ntcheu,Ntcheu,May,2024,500,560,580,600,600,Maize,560
Lilongwe,Manjawira,Ntcheu,Ntonda,May,2024,,,,,,Maize,#DIV/0!
Machinga,Bazale,Balaka,Balaka,May,2024,640.67,632.30,628.97,631.12,,Maize,633.265
Machinga,Chikweo,Machinga,Ntaja,May,2024,,,,,,Maize,#DIV/0!
Machinga,Mpiya,Machinga,Namwera,May,2024,600,580,580,600,600,Maize,590
Machinga,Mbwadzulu,Mangochi,Monkey Bay,May,2024,650,600,600,650,650,Maize,625
Machinga,Nasenga,Mangochi,Mangochi,May,2024,700,650,600,600,600,Maize,637.5
Machinga,Mtubwi,Machinga,Liwonde,May,2024,,,,,,Maize,#DIV/0!
Machinga,Mpokwa,Zomba,Jali,May,2024,,,,,,Maize,#DIV/0!
Machinga,Ngwelero,Zomba,Mayaka,May,2024,,,,,,Maize,#DIV/0!
Machinga,Thondwe,Zomba,Zomba,May,2024,,,,,,Maize,#DIV/0!
Machinga,Thondwe,Zomba,Thondwe,May,2024,,,,,,Maize,#DIV/0!
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,May,2024,700.12,700.01,750.22,750.88,,Maize,725.3075
Blantyre,Lunzu,Blantyre,Lunzu,May,2024,,,,,,Maize,#DIV/0!
Blantyre,Mtonda,Blantyre,Limbe,May,2024,,,,,,Maize,#DIV/0!
Blantyre,Dwale,Thyolo,Bvumbwe,May,2024,,,,,,Maize,#DIV/0!
Blantyre,Nkhonjeni,Thyolo,Luncheza,May,2024,600,580.03,560.25,570.33,,Maize,577.6525
Blantyre,Mwanza,Mwanza,Mwanza,May,2024,640,640,640,640,,Maize,640
Blantyre,Neno,Neno,Neno,May,2024,600,600,600,600,,Maize,600
Blantyre,Nkhulambe,Phalombe,Chiringa,May,2024,,,,,,Maize,#DIV/0!
Blantyre,Naminjiwa,Phalombe,Phalombe,May,2024,,,,,,Maize,#DIV/0!
Blantyre,Milonde,Mulanje,Muloza,May,2024,,,,,,Maize,#DIV/0!
Shirevalley,Mitole,Chikwawa,Chikhwawa,May,2024,519.87,518.5,517.13,515.76,515.76,Maize,517.815
Shirevalley,Mikalango,Chikwawa,Ngabu,May,2024,539.9,525.35,531.77,524.21,524.21,Maize,530.3075
Shirevalley,Mbewe,Chikwawa,Nchalo,May,2024,509.6,503.13,511.26,509.6566667,509.6566667,Maize,508.4116667
Shirevalley,Magoti,Nsanje,Bangula,May,2024,,,,,,Maize,#DIV/0!
Shirevalley,Zunde,Nsanje,Nsanje,May,2024,700,700,700,700.01,,Maize,700.0025
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
