ADD,EPA,District ,Market,Month,Commodity,Price
Kasungu,Malomo,Ntchisi,Malomo,February,Cow peas,
Kasungu,Nachisaka,Dowa East,Dowa,February,Cow peas,
Kasungu,Mponela,Dowa West,Mponela,February,Cow peas,
Kasungu,Madisi,Dowa West,Madisi,February,Cow peas,
Kasungu,Bowe,Dowa West,Bowe,February,Cow peas,
Kasungu,Nambuma,Dowa West,Nambuma,February,Cow peas,
Kasungu,Santhe,Kasungu,Santhe,February,Cow peas,
Kasungu,Chipala,Kasungu,Kasungu,February,Cow peas,
Kasungu,Chamama,Kasungu,Chamama,February,Cow peas,
Kasungu,Kaluluma,Kasungu,Nkhamenya,February,Cow peas,
Kasungu,Kaluluma,Kasungu,Chatoloma,February,Cow peas,
Kasungu,Mkanda,Mchinji,Mkanda,February,Cow peas,
Kasungu,Zulu,Mchinji,Mchinji,February,Cow peas,
Lilongwe,Chilaza,Lilongwe West,Msundwe,February,Cow peas,
Lilongwe,Demera,Lilongwe West,Kasiya,February,Cow peas,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,February,Cow peas,
Lilongwe,Mitundu,Lilongwe West,Mitundu,February,Cow peas,1475
Lilongwe,Chitsime,Lilongwe East,Nanjiri,February,Cow peas,
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,February,Cow peas,
Lilongwe,Lobi,Dedza,Thete,February,Cow peas,
Lilongwe,Mtakataka,Dedza,Mtakataka,February,Cow peas,
Lilongwe,Linthipe,Dedza,Chimbiya,February,Cow peas,1200.3
Lilongwe,Bembeke,Dedza,Bembeke Turn off,February,Cow peas,780
Lilongwe,Njolomole,Ntcheu,Lizulu,February,Cow peas,
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,February,Cow peas,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,February,Cow peas,
Lilongwe,Nsipe,Ntcheu,Ntcheu,February,Cow peas,
Lilongwe,Manjawira,Ntcheu,Ntonda,February,Cow peas,
Machinga,Bazale,Balaka,Balaka,February,Cow peas,1434.32
Machinga,Chikweo,Machinga,Ntaja,February,Cow peas,
Machinga,Mpiya,Machinga,Namwera,February,Cow peas,
Machinga,Mbwadzulu,Mangochi,Monkey Bay,February,Cow peas,1387.75
Machinga,Nasenga,Mangochi,Mangochi,February,Cow peas,1539.5
Machinga,Mtubwi,Machinga,Liwonde,February,Cow peas,1762.5
Machinga,Mpokwa,Zomba,Jali,February,Cow peas,
Machinga,Ngwelero,Zomba,Mayaka,February,Cow peas,
Machinga,Thondwe,Zomba,Zomba,February,Cow peas,
Machinga,Thondwe,Zomba,Thondwe,February,Cow peas,
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,February,Cow peas,
Blantyre,Lunzu,Blantyre,Lunzu,February,Cow peas,
Blantyre,Mtonda,Blantyre,Limbe,February,Cow peas,
Blantyre,Dwale,Thyolo,Bvumbwe,February,Cow peas,
Blantyre,Nkhonjeni,Thyolo,Luncheza,February,Cow peas,
Blantyre,Mwanza,Mwanza,Mwanza,February,Cow peas,1061.76
Blantyre,Neno,Neno,Neno,February,Cow peas,1200
Blantyre,Nkhulambe,Phalombe,Chiringa,February,Cow peas,
Blantyre,Naminjiwa,Phalombe,Phalombe,February,Cow peas,
Blantyre,Milonde,Mulanje,Muloza,February,Cow peas,
Shirevalley,Mitole,Chikwawa,Chikhwawa,February,Cow peas,1497.73
Shirevalley,Mikalango,Chikwawa,Ngabu,February,Cow peas,1514.48
Shirevalley,Mbewe,Chikwawa,Nchalo,February,Cow peas,1580.8375
Shirevalley,Magoti,Nsanje,Bangula,February,Cow peas,1200
Shirevalley,Zunde,Nsanje,Nsanje,February,Cow peas,1200.5
Karonga,Misuku,Chitipa,Misuku,March,Cow peas,
Karonga,Kavukuku,Chitipa,Nthalire,March,Cow peas,
Karonga,Lufita,Chitipa,Chitipa,March,Cow peas,
Karonga,Mpata,Karonga,Karonga,March,Cow peas,798.61
Karonga,Vinthukutu,Karonga,Chilumba,March,Cow peas,
Mzuzu,Bolero,Rumphi,Rumphi,March,Cow peas,
Mzuzu,Katowo,Rumphi,Hewe,March,Cow peas,
Mzuzu,Emsizini,Mzimba North,Mzuzu,March,Cow peas,
Mzuzu,Kazomba,Mzimba South,Mzimba,March,Cow peas,
Mzuzu,Mbawa,Mzimba South,Embangweni,March,Cow peas,
Mzuzu,Champhira,Mzimba South,Jenda,March,Cow peas,
Mzuzu,Mpamba,Nkhata Bay,Mpamba,March,Cow peas,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,March,Cow peas,
Mzuzu,Chintheche,Nkhata Bay,Chintheche,March,Cow peas,
Salima,Nkhunga,Nkhotakota,Dwangwa,March,Cow peas,1500
Salima,Linga,Nkhotakota,Nkhotakota,March,Cow peas,
Salima,Mwansambo,Nkhotakota,Mwansambo,March,Cow peas,
Salima,Tembwe,Salima,Salima,March,Cow peas,
Kasungu,Chikwatula,Ntchisi,Ntchisi,March,Cow peas,
Kasungu,Malomo,Ntchisi,Malomo,March,Cow peas,
Kasungu,Nachisaka,Dowa East,Dowa,March,Cow peas,1500
Kasungu,Mponela,Dowa West,Mponela,March,Cow peas,
Kasungu,Madisi,Dowa West,Madisi,March,Cow peas,
Kasungu,Bowe,Dowa West,Bowe,March,Cow peas,
Kasungu,Nambuma,Dowa West,Nambuma,March,Cow peas,1400
Kasungu,Santhe,Kasungu,Santhe,March,Cow peas,
Kasungu,Chipala,Kasungu,Kasungu,March,Cow peas,
Kasungu,Chamama,Kasungu,Chamama,March,Cow peas,
Kasungu,Kaluluma,Kasungu,Nkhamenya,March,Cow peas,400
Kasungu,Kaluluma,Kasungu,Chatoloma,March,Cow peas,
Kasungu,Mkanda,Mchinji,Mkanda,March,Cow peas,
Kasungu,Zulu,Mchinji,Mchinji,March,Cow peas,2400
Lilongwe,Chilaza,Lilongwe West,Msundwe,March,Cow peas,
Lilongwe,Demera,Lilongwe West,Kasiya,March,Cow peas,
